Nord,øst,Latitude,Longitude,ID,OBJTYPE,KOMM,BYGGTYP_NBR,INFORMASJON,Skolenavn,ADRESSE,Hjemmeside,ELEVER,KAPASITET
6538735.70,311664.25,58.946442,5.726693,1,Bygning,1103,619,Kommunal,Auglend Skole,Hjalmar Johansensgt. 32,http://www.minskole.no/auglend,Barnetrinn ukjent  ELEVER/TRINN 8.-4   9.-3   10.-3, 
6540811.35,310683.00,58.964696,5.707375,2,Bygning,1103,613,Kommunal,Eiganes skole,Duesvei 35,http://www.minskole.no/eiganes,ELEVER/TRINN 1.-51  2.-68  3.-51  4.- 69  5.-49  6.-45  7.-41,13 klasserom 
6542534.78,310512.00,58.980302,5.702956,3,Bygning,1103,613,Kommunal,Byfjord skole,Soltunveien 28,http://www.minskole.no/byfjord,ELEVER/TRINN 1.-58  2.-61  3.-60  4.-60  5.-54  6.-62  7.-52,14 klasserom 
6533607.35,310739.00,58.900337,5.714215,4,Bygning,1103,613,Kommunal,Godeset skole,Folkvangveien 50,http://www.minskole.no/godeset,ELEVER/TRINN 1.-51  2.-45  3.-39  4.-48  5.-33  6.-44  7.-41,14 klasserom 
6538538.50,307604.97,58.940129,5.648528,5,Bygning,1103,613,Kommunal,Hafrsfjord skole,Madlasandnes,https://www.minskole.no/hafrsfjord,ELEVER/TRINN 1.-41  2.-48  3.-42  4.-50  5.-50  6.-36  7.-58,14 klasserom 
6544250.35,312315.00,58.996488,5.732501,6,Bygning,1103,613,Kommunal,Hundvåg skole,Hundvågveien 75,https://www.minskole.no/hundvaag,ELEVER/TRINN 1.-68  2.-66  3.-67  4.-59  5.-62  6.-57  7.-76,22 klasserom 
6541590.04,311248.19,58.972132,5.716442,7,Bygning,1103,613,Kommunal,Kampen skole,Kampensgata 33,https://www.minskole.no/kampen,ELEVER/TRINN 1.-59  2.-62  3.-43  4.-53  5.-43  6.-45  7.-62,18 klasserom 
6538424.35,312787.82,58.944487,5.745595,8,Bygning,1103,613,Kommunal,Kvaleberg skole,Hillevågsveien 82,http://www.minskole.no/kvaleberg,ELEVER/TRINN 1.-53  2.-52  3.-60  4.-53  5.-45  6.-52  7.- 47,18 klasserom 
6541308.26,304841.92,58.966325,5.604738,9,Bygning,1103,613,Kommunal,Kvernevik skole,Heiloveien 11,http://www.minskole.no/kvernevik,ELEVER/TRINN 1.-66  2.-79  3.-63  4.-66  5.-47  6.-72  7.-61,27 klasserom 
6540012.35,309917.65,58.957328,5.694603,10,Bygning,1103,613,Kommunal,Lassa skole,Rektor Berntsens gate 9,http://www.minskole.no/lassa,ELEVER/TRINN 1.-57  2.-57  3.-52  4.-42  5.-53  6.-56  7.-71,15 klasserom 
