dato,skole,elevdag,laererdag,sfodag,kommentar
2016-08-01,Auglend skole,Nei,Nei,Ja,
2016-08-02,Auglend skole,Nei,Nei,Ja,
2016-08-03,Auglend skole,Nei,Nei,Ja,
2016-08-04,Auglend skole,Nei,Nei,Ja,
2016-08-05,Auglend skole,Nei,Nei,Ja,
2016-08-06,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-07,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-08,Auglend skole,Nei,Nei,Ja,
2016-08-09,Auglend skole,Nei,Nei,Ja,
2016-08-10,Auglend skole,Nei,Nei,Ja,
2016-08-11,Auglend skole,Nei,Nei,Ja,
2016-08-12,Auglend skole,Nei,Nei,Ja,
2016-08-13,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-14,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-15,Auglend skole,Nei,Ja,Nei,Planleggingsdag
2016-08-16,Auglend skole,Nei,Ja,Ja,Planleggingsdag
2016-08-17,Auglend skole,Nei,Ja,Ja,Planleggingsdag
2016-08-18,Auglend skole,Ja,Ja,Ja,
2016-08-19,Auglend skole,Ja,Ja,Ja,
2016-08-20,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-21,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-22,Auglend skole,Ja,Ja,Ja,
2016-08-23,Auglend skole,Ja,Ja,Ja,
2016-08-24,Auglend skole,Ja,Ja,Ja,
2016-08-25,Auglend skole,Ja,Ja,Ja,
2016-08-26,Auglend skole,Ja,Ja,Ja,
2016-08-27,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-28,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-29,Auglend skole,Ja,Ja,Ja,
2016-08-30,Auglend skole,Ja,Ja,Ja,
2016-08-31,Auglend skole,Ja,Ja,Ja,
2016-09-01,Auglend skole,Ja,Ja,Ja,
2016-09-02,Auglend skole,Ja,Ja,Ja,
2016-09-03,Auglend skole,Nei,Nei,Nei,Lørdag
